,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
50,43076.92307692308,325.0,departamento,3.0,3.0,3.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3956204364,-99.2649004149
51,60317.46031746032,315.0,departamento,4.0,4.0,5.0, Cuauhtémoc, Cuauhtémoc,19.4356338,-99.1495107
52,75423.72881355933,118.0,departamento,2.0,2.0,2.0, Ampliación Granada, Miguel Hidalgo,19.442115,-99.20408929999996
53,94827.58620689657,464.0,departamento,4.0,3.0,6.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3779167,-99.2799702
54,75510.20408163265,245.0,departamento,3.0,3.0,4.0, Jardines del Pedregal, Alvaro Obregón,19.3337946,-99.20452969999997
55,47931.03448275862,290.0,departamento,3.0,2.0,2.0, Irrigación, Miguel Hidalgo,19.44011160116821,-99.20598372572556
56,28343.94904458599,157.0,departamento,3.0,3.0,3.0, Culhuacan CTM , Coyoacán,19.3244675697,-99.1186523438
57,41925.46583850931,322.0,departamento,3.0,3.0,3.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3947825,-99.2653869
58,33148.55875831486,451.0,departamento,3.0,2.0,2.0, Lomas Axomiatla, Alvaro Obregón,19.343109,-99.2541743
59,5092.622950819672,183.0,departamento,3.0,3.0,2.0, Polanco, Miguel Hidalgo,19.4352979099,-99.2004541
60,75000.0,240.0,departamento,3.0,3.0,3.0, Ampliación Granada, Miguel Hidalgo,19.4416816,-99.2037946
61,2827.3809523809523,336.0,departamento,3.0,3.0,3.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3933352,-99.2602401
62,100000.0,300.0,departamento,4.0,3.0,2.0, Lomas de Chapultepec, Miguel Hidalgo,19.4207702,-99.2299221
63,68316.83168316832,101.0,departamento,2.0,2.0,2.0, Irrigación, Miguel Hidalgo,19.4400079,-99.2062439
64,85113.63636363637,88.0,departamento,2.0,2.0,2.0, Polanco, Miguel Hidalgo,19.4373329,-99.184973
65,3253.012048192771,415.0,departamento,4.0,3.0,4.0, Lomas del Chamizal, Cuajimalpa de Morelos,19.390331,-99.2598097
66,23404.25531914893,1316.0,departamento,4.0,4.0,6.0, Jardines del Pedregal, Alvaro Obregón,19.313742,-99.2160299
67,18718.75,1600.0,departamento,8.0,6.0,15.0, Tlalpan Centro, Tlalpan,19.2877374,-99.1720337
68,72033.89830508475,118.0,departamento,2.0,3.0,2.0, Ampliación Granada, Miguel Hidalgo,19.44173998866433,-99.20454208360592
69,78571.42857142857,70.0,departamento,1.0,1.0,1.0, Ampliación Granada, Miguel Hidalgo,19.44173998866433,-99.20454208360592
70,53947.36842105263,380.0,departamento,3.0,3.0,3.0, Lomas Altas, Miguel Hidalgo,19.3952537,-99.2393681
71,40579.710144927536,345.0,departamento,3.0,3.0,3.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3860303,-99.2578928
72,38286.71328671329,286.0,departamento,3.0,3.0,2.0, Lomas de Vista Hermosa, Cuajimalpa de Morelos,19.3805364,-99.2653388
73,35365.85365853659,164.0,departamento,4.0,3.0,2.0, Jardines Villa Coapa, Tlalpan,19.3015481,-99.1338549
74,48770.49180327869,122.0,departamento,2.0,2.0,2.0, Tizapan, Alvaro Obregón,19.336097,-99.1999919
75,50781.25,256.0,departamento,3.0,3.0,3.0, Nueva Rosita, Cuajimalpa de Morelos,19.3639348,-99.2724949
76,73913.04347826086,115.0,departamento,2.0,2.0,2.0, Ampliación Granada, Miguel Hidalgo,19.443103,-99.2024743
77,20299.1452991453,1872.0,departamento,4.0,3.0,10.0, Rancho San Francisco, San Bartolo Ameyalco,19.3360421,-99.2595795
78,23420.13888888889,576.0,departamento,3.0,3.0,3.0, San Nicolás Totolapan, La Magdalena Contreras,19.2936452,-99.2466874
79,72272.72727272728,110.0,departamento,2.0,2.0,2.0, Ampliación Granada, Miguel Hidalgo,19.4423928,-99.20240939999996
80,37500.0,400.0,departamento,3.0,3.0,5.0, Extremadura Insurgentes, Benito Juárez,19.3765413,-99.1802147
81,38286.71328671329,286.0,departamento,3.0,3.0,2.0, Lomas de Vista Hermosa, Cuajimalpa de Morelos,19.3805364,-99.2653388
82,45794.39252336448,107.0,departamento,3.0,2.0,1.0, Del Valle Centro, Benito Juárez,19.380894,-99.158795
83,75819.67213114754,122.0,departamento,2.0,2.0,2.0, Ampliación Granada, Miguel Hidalgo,19.44173998866433,-99.20454208360592
84,71428.57142857143,133.0,departamento,3.0,2.0,2.0, Ampliación Granada, Miguel Hidalgo,19.4423928,-99.20240939999996
85,49722.22222222222,360.0,departamento,3.0,3.0,3.0, Santa Fe Cuajimalpa, Cuajimalpa de Morelos,19.3621078,-99.2774274
86,53333.333333333336,90.0,departamento,2.0,2.0,2.0, Olivar de los Padres, Alvaro Obregón,19.3392293,-99.2189838
87,43000.0,300.0,departamento,3.0,3.0,3.0, Lomas de Vista Hermosa, Cuajimalpa de Morelos,19.3797793,-99.2653368
88,49476.06818181818,88.0,departamento,2.0,2.0,2.0, Polanco, Miguel Hidalgo,19.4487342,-99.2197083
89,43706.293706293705,143.0,departamento,3.0,3.0,2.0, Del Valle Centro, Benito Juárez,19.3863786,-99.1696491
90,87096.7741935484,155.0,departamento,2.0,3.0,2.0, Polanco, Miguel Hidalgo,19.4297891962,-99.1918449407
91,4926.108374384236,406.0,departamento,4.0,3.0,5.0, Polanco, Miguel Hidalgo,19.4416816,-99.2037946
92,2307.692307692308,325.0,departamento,3.0,3.0,4.0, Bosque de las Lomas, Miguel Hidalgo,19.3860385,-99.2548813
93,64297.52066115703,605.0,departamento,3.0,4.0,3.0, Lomas de Bezares, Miguel Hidalgo,19.3913498,-99.244139
94,31865.284974093265,193.0,departamento,3.0,2.0,2.0, Anáhuac I Sección, Miguel Hidalgo,19.4413563,-99.1802147
95,68181.81818181818,220.0,departamento,3.0,3.0,2.0, Ampliación Granada, Miguel Hidalgo,19.4416816,-99.2037946
96,51612.90322580645,124.0,departamento,3.0,2.0,2.0, Narvarte Poniente, Benito Juárez,19.3953549,-99.1475108
97,70224.7191011236,356.0,departamento,3.0,4.0,4.0, Santa Fe, Alvaro Obregón,19.3847828,-99.2284709
98,31040.0,125.0,departamento,3.0,3.0,2.0, Lindavista, Gustavo A. Madero,19.4948839,-99.1278456
99,95600.0,250.0,departamento,4.0,4.0,2.0, San Ángel, Alvaro Obregón,19.3461527,-99.1900322
100,27544.91017964072,167.0,departamento,3.0,2.0,2.0, Del Valle Centro, Benito Juárez,19.3797151,-99.1677132
101,58730.15873015873,63.0,departamento,2.0,2.0,1.0, Santa Fe, Alvaro Obregón,19.3791223,-99.2539677
102,82500.0,800.0,departamento,4.0,4.0,7.0, Lomas de Chapultepec, Miguel Hidalgo,19.4231103,-99.2226076
103,100000.0,220.0,departamento,2.0,2.0,4.0, Polanco, Miguel Hidalgo,19.4416816,-99.2037946
104,42639.59390862944,985.0,departamento,4.0,5.0,6.0, Bosque de las Lomas, Miguel Hidalgo,19.3972418,-99.2438547
105,30000.0,530.0,departamento,3.0,3.0,4.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3636193439,-99.278604219
106,46218.48739495799,238.0,departamento,3.0,2.0,1.0, Polanco, Miguel Hidalgo,19.4328221,-99.188099
107,42686.230248306994,443.0,departamento,3.0,3.0,4.0, Santa Fe, Alvaro Obregón,19.3619875,-99.2662189
108,37368.42105263158,190.0,departamento,3.0,2.0,2.0, Narvarte Poniente, Benito Juárez,19.3915892,-99.1593162
109,25700.93457943925,214.0,departamento,3.0,3.0,1.0, Santa María Nonoalco, Benito Juárez,19.3795579,-99.1933664
110,37804.87804878049,82.0,departamento,2.0,2.0,1.0, Nueva Oriental Coapa, Tlalpan,19.2988105,-99.1297045
111,70375.5868544601,213.0,departamento,2.0,2.0,2.0, Ampliación Granada, Miguel Hidalgo,19.4416925,-99.2019537
112,40930.232558139534,215.0,departamento,3.0,3.0,2.0, Bosques de Tarango, Alvaro Obregón,19.3494565,-99.2540318
113,38152.610441767065,249.0,departamento,3.0,4.0,2.0, Del Valle Centro, Benito Juárez,19.3728098,-99.1683794
114,85910.6529209622,291.0,departamento,3.0,3.0,3.0, Polanco, Miguel Hidalgo,19.4406926,-99.2047001
115,54814.81481481482,270.0,departamento,3.0,3.0,3.0, Bosques de las Lomas, Cuajimalpa de Morelos,19.3940926,-99.2647973
116,31840.0,625.0,departamento,5.0,3.0,6.0, Romero de Terreros, Coyoacán,19.3403262,-99.1726898
117,21685.25402726146,1614.0,departamento,4.0,7.0,12.0, Jardines del Pedregal, Alvaro Obregón,19.3295268,-99.1972995
118,59016.39344262295,122.0,departamento,3.0,2.0,2.0, Polanco, Miguel Hidalgo,19.44173998866433,-99.20454208360592
