,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
37,60885.60885608856,542.0,departamento,4.0,4.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.434735663479568,-99.19174786931153
38,75000.0,160.0,departamento,3.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4345355,-99.1909392
39,94900.62790697676,172.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
40,111888.11188811187,143.0,departamento,1.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
41,7068.062827225131,191.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4346174,-99.2005766
42,77397.2602739726,219.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4349817,-99.1925321
43,100000.0,138.0,departamento,2.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.436903271489165,-99.19384996560667
44,59615.38461538462,130.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43594976120935,-99.1915976656067
45,4384.369230769231,455.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
46,102926.524,250.0,departamento,2.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.436909,-99.1965969
47,57763.97515527951,161.0,departamento,3.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.432827735504983,-99.19909558650818
48,4969.69696969697,165.0,departamento,3.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4374069,-99.1949889
49,96153.84615384616,156.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4332601,-99.1990898
50,74166.66666666667,240.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
51,83636.36363636363,165.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4345835292,-99.198153019
52,94117.64705882352,170.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
53,83068.78306878307,189.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
54,92500.0,400.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
55,109649.12280701754,228.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
56,54482.75862068965,145.0,departamento,2.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.432347965501258,-99.19181187310936
57,430000.0,100.0,departamento,3.0,3.0,6.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.436677456761167,-99.19500181031184
58,59090.90909090909,110.0,departamento,1.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
59,64748.20143884892,556.0,departamento,3.0,3.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
60,76696.83257918552,221.0,departamento,3.0,4.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4359268,-99.1933241
61,5312.5,320.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
62,70720.0,250.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
63,117837.52105263158,190.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4369885,-99.1965865
64,127272.72727272728,330.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
65,59626.66666666666,150.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4376353,-99.1913978
66,96354.16666666669,192.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
67,83390.4109589041,146.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4360517,-99.192346
68,5794.223826714801,277.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4331242,-99.2005531
69,85919.54022988505,174.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.436965,-99.197446
70,430000.0,100.0,departamento,3.0,3.0,6.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.436677456761167,-99.19500181031184
71,111888.11188811187,143.0,departamento,1.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
72,59615.38461538462,130.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43594976120935,-99.1915976656067
73,5000.0,450.0,departamento,4.0,3.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43271097058524,-99.1946399349182
74,8000.0,450.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43704985681824,-99.1956611563446
75,57763.97515527951,161.0,departamento,3.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.432827735504983,-99.19909558650818
76,5312.5,320.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
77,5000.0,450.0,departamento,4.0,5.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4326705,-99.1949618
78,97500.0,150.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4358798,-99.1999821
79,96153.84615384616,156.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4332601,-99.1990898
