,Unnamed: 0,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
7617,7617,10120.967741935485,248.0,casa,3.0,4.5,3.0,BARRANCA SECA,LA MAGDALENA CONTRERAS,19.3064,-99.23816
8089,8089,11503.064220183487,109.0,casa,3.0,2.0,3.0,COLINAS DEL SUR,ALVARO OBREGON,19.36876,-99.22586
1134,1134,2827.3809523809523,336.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3933352,-99.2602401
1129,1129,2827.3809523809523,336.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3933352,-99.2602401
6046,6046,85000.0,100.0,departamento,3.0,2.0,3.0,STA CRUZ ATOYAC,BENITO JUAREZ,19.3645003,-99.1616156
8384,8384,2825.065274151436,383.0,casa,3.0,3.0,3.0,JUSTO SIERRA,IZTAPALAPA,19.3653,-99.136
4371,4371,83582.0895522388,134.0,departamento,3.0,2.0,3.0,GRANADA,MIGUEL HIDALGO,19.439641,-99.1995083
2816,2816,57500.0,200.0,departamento,2.0,2.0,3.0,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,19.3598401286,-99.269882114
6352,6352,3702.881844380403,347.0,departamento,3.0,2.0,3.0,GUADALUPE INN,ALVARO OBREGON,19.3586981,-99.1885424
671,671,75000.0,240.0,departamento,3.0,3.0,3.0,GRANADA (AMPL),MIGUEL HIDALGO,19.4416816,-99.2037946
693,693,75000.0,240.0,departamento,3.0,3.0,3.0,GRANADA (AMPL),MIGUEL HIDALGO,19.4416816,-99.2037946
8622,8622,9029.469696969696,264.0,casa,3.0,2.0,3.0,SAN JUAN DE ARAGON 2A SECCION (U HAB) II,GUSTAVO A. MADERO,19.45657,-99.08867
639,639,75000.0,240.0,departamento,3.0,3.0,3.0,GRANADA (AMPL),MIGUEL HIDALGO,19.4416816,-99.2037946
50,50,74166.66666666667,240.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
207,207,74166.66666666667,240.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
2177,2177,5751.320158102767,253.0,departamento,3.0,3.0,3.0,BOSQUES DE CHAPULTEPEC (POLANCO),MIGUEL HIDALGO,19.4303072,-99.1905883
758,758,74404.76190476191,168.0,departamento,3.0,3.0,3.0,GRANADA (AMPL),MIGUEL HIDALGO,19.4414677,-99.202496
1141,1141,2827.3809523809523,336.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3933352,-99.2602401
8930,8930,33783.78378378379,74.0,departamento,3.0,2.0,3.0,POPULAR RASTRO,VENUSTIANO CARRANZA,19.4521,-99.11874
2155,2155,6371.428571428572,350.0,departamento,3.0,3.0,3.0,BOSQUES DE CHAPULTEPEC (POLANCO),MIGUEL HIDALGO,19.428910982751933,-99.18493978874665
1991,1991,75189.39393939394,264.0,casa,3.0,3.0,3.0,LA LOMA,ALVARO OBREGON,19.3694979,-99.2501116
68,68,5794.223826714801,277.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4331242,-99.2005531
23,23,5794.223826714801,277.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4331242,-99.2005531
804,804,75000.0,240.0,departamento,3.0,3.0,3.0,GRANADA (AMPL),MIGUEL HIDALGO,19.44313,-99.20133
3231,3231,65660.4099378882,161.0,departamento,3.0,2.0,3.0,ANAHUAC II,MIGUEL HIDALGO,19.4367648,-99.1792888
5214,5214,71889.40092165899,217.0,casa,3.0,2.0,3.0,REFORMA SOCIAL,MIGUEL HIDALGO,19.4330234,-99.2144287
1945,1945,75129.53367875647,193.0,departamento,3.0,3.0,3.0,JARDINES DEL PEDREGAL,ALVARO OBREGON,19.3206033,-99.2099896
897,897,64500.0,100.0,casa,3.0,2.0,3.0,OLIVAR DE LOS PADRES,ALVARO OBREGON,19.3375878,-99.237465
6157,6157,72188.44984802432,329.0,casa,3.0,3.0,3.0,LOMAS DE MEMETLA,CUAJIMALPA DE MORELOS,19.35787,-99.28651
405,405,72523.96166134185,313.0,casa,3.0,3.0,3.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,19.40221,-99.24536
8,8,5955.555555555556,270.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
9,9,5955.555555555556,270.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
1623,1623,44419.642857142855,224.0,casa,3.0,2.0,3.0,SAN JERONIMO ACULCO - LIDICE (PBLO),LA MAGDALENA CONTRERAS,19.3314091,-99.2255178
7507,7507,36548.22335025381,197.0,departamento,3.0,3.0,3.0,MILITAR MARTE,IZTACALCO,19.3831137,-99.1322888
1960,1960,64327.48538011696,342.0,departamento,3.0,2.0,3.0,LA LOMA,ALVARO OBREGON,19.3649924193,-99.2547905445
6130,6130,74855.49132947977,173.0,casa,3.0,3.0,3.0,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.31563,-99.24124
4769,4769,52400.88105726872,227.0,departamento,3.0,3.0,3.0,NAPOLES,BENITO JUAREZ,19.3943574,-99.1774462
3046,3046,64102.5641025641,234.0,casa,3.0,2.0,3.0,DEL VALLE III,BENITO JUAREZ,19.389164,-99.167668
1319,1319,56590.90909090909,440.0,departamento,3.0,3.0,3.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3846052,-99.2638167
5387,5387,34509.80392156863,255.0,departamento,3.0,2.0,3.0,SAN CLEMENTE,ALVARO OBREGON,19.348910065867223,-99.22637178707733
1207,1207,58360.65573770492,305.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3934449156,-99.2647973
4589,4589,37022.900763358775,262.0,departamento,3.0,3.0,3.0,DEL VALLE IV,BENITO JUAREZ,19.3802762,-99.1739684
4588,4588,37022.900763358775,262.0,departamento,3.0,3.0,3.0,DEL VALLE IV,BENITO JUAREZ,19.3802762,-99.1739684
6129,6129,58484.1628959276,221.0,casa,3.0,3.0,3.0,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.3160216,-99.237435
1167,1167,58688.524590163935,305.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3940926,-99.2647973
6118,6118,58597.2850678733,221.0,casa,3.0,3.0,3.0,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.316223,-99.2373097
4581,4581,37022.900763358775,262.0,departamento,3.0,3.0,3.0,DEL VALLE IV,BENITO JUAREZ,19.3802762,-99.1739684
1370,1370,56590.90909090909,440.0,departamento,3.0,3.0,3.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3846052,-99.2638167
6139,6139,58484.1628959276,221.0,casa,3.0,3.0,3.0,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.3160216,-99.237435
6895,6895,29523.809523809523,105.0,departamento,3.0,2.0,3.0,AMPLIACION MIGUEL HIDALGO 3A SECC,TLALPAN,19.2778969,-99.2037833
1238,1238,57377.04918032787,305.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3929373,-99.2633141
4548,4548,29729.72972972973,185.0,casa,3.0,2.0,3.0,AMPLIACION MIGUEL HIDALGO 2A SECC,TLALPAN,19.2828013,-99.1933069
2148,2148,81081.08108108108,185.0,departamento,2.0,2.0,3.0,BOSQUES DE CHAPULTEPEC (POLANCO),MIGUEL HIDALGO,19.4300508132,-99.1887760162
626,626,58282.20858895705,163.0,departamento,3.0,3.0,3.0,JARDINES DE LA PALMA (HUIZACHITO),CUAJIMALPA DE MORELOS,19.369053,-99.2825346
6285,6285,58510.63829787234,188.0,departamento,3.0,3.0,3.0,TLACOQUEMECATL DEL VALLE,BENITO JUAREZ,19.3786109,-99.1727939
2245,2245,4966.887417218543,302.0,departamento,2.0,3.0,3.0,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4284128,-99.2174927
2560,2560,31749.27113702624,343.0,casa,3.0,2.0,3.0,LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,19.38209,-99.26728
6704,6704,27857.14285714286,70.0,departamento,2.0,2.0,3.0,LOMAS ESTRELLA 2A SECC II,IZTAPALAPA,19.31761,-99.09412
5309,5309,36159.42028985507,138.0,departamento,2.0,3.0,3.0,SAN PEDRO CUAJIMALPA (PBLO),CUAJIMALPA DE MORELOS,19.35862,-99.30231
1814,1814,35953.23741007194,278.0,casa,2.0,3.0,3.0,JARDINES DEL PEDREGAL,ALVARO OBREGON,19.3223956,-99.2139902
1507,1507,50467.28971962617,214.0,departamento,2.0,3.0,3.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3842511507,-99.2575478554
969,969,51250.0,400.0,casa,2.0,3.0,3.0,TLACOPAC,ALVARO OBREGON,19.3516932,-99.1914165
7562,7562,34510.86956521739,184.0,casa,3.0,2.0,3.0,VILLA VERDUN,ALVARO OBREGON,19.3391,-99.25739
5274,5274,35696.04191616766,167.0,casa,2.0,3.0,3.0,SAN PEDRO CUAJIMALPA (PBLO),CUAJIMALPA DE MORELOS,19.3517792,-99.2973793
6117,6117,58597.2850678733,221.0,casa,3.0,3.0,3.0,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.316223,-99.2373097
5273,5273,35696.04191616766,167.0,casa,2.0,3.0,3.0,SAN PEDRO CUAJIMALPA (PBLO),CUAJIMALPA DE MORELOS,19.35862,-99.30231
8332,8332,7352.941176470588,170.0,casa,3.0,2.0,3.0,EDUCACION,COYOACAN,19.33562,-99.13276
1144,1144,58552.63157894737,304.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3940926,-99.2647973
1672,1672,57692.307692307695,364.0,casa,3.0,3.0,3.0,SAN JERONIMO ACULCO - LIDICE (PBLO),LA MAGDALENA CONTRERAS,19.32602,-99.22641
8331,8331,7352.941176470588,170.0,casa,3.0,2.0,3.0,EDUCACION,COYOACAN,19.33562,-99.13276
3562,3562,27986.348122866893,293.0,casa,2.0,2.0,3.0,SANTA MARIA NONOALCO,ALVARO OBREGON,19.3795579,-99.1933664
7169,7169,36315.78947368421,190.0,casa,3.0,3.0,3.0,CAMPESTRE CHURUBUSCO,COYOACAN,19.34617,-99.13454
4910,4910,82500.0,200.0,casa,3.0,3.0,3.0,LAS AGUILAS,ALVARO OBREGON,19.3615348,-99.2003239
7966,7966,44687.5,160.0,departamento,2.0,2.0,3.0,VIADUCTO PIEDAD,IZTACALCO,19.40225974836195,-99.13496008100894
1337,1337,2307.692307692308,325.0,departamento,3.0,3.0,3.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3966893,-99.2567285
4119,4119,45365.85365853659,123.0,departamento,3.0,2.0,3.0,DEL VALLE II,BENITO JUAREZ,19.393168521267,-99.164105151115
3119,3119,52150.5376344086,186.0,departamento,3.0,3.0,3.0,DEL VALLE III,BENITO JUAREZ,19.389164,-99.167668
8689,8689,56097.56097560976,205.0,casa,3.0,3.0,3.0,SAN BERNABE (BARR),AZCAPOTZALCO,19.4678395,-99.1736397
1654,1654,29833.33333333333,300.0,casa,3.0,2.5,3.0,SAN JERONIMO ACULCO - LIDICE (PBLO),LA MAGDALENA CONTRERAS,19.32602,-99.22641
3070,3070,5821.034420289855,276.0,casa,4.0,2.5,3.0,DEL VALLE III,BENITO JUAREZ,19.389164,-99.167668
6821,6821,21418.70526315789,190.0,casa,3.0,3.0,3.0,LINDAVISTA I,GUSTAVO A. MADERO,19.48776,-99.1347
7236,7236,21875.52,150.0,casa,3.0,3.0,3.0,LOMAS DE LAS AGUILAS,ALVARO OBREGON,19.34749,-99.23516
793,793,85483.87096774194,124.0,departamento,3.0,2.5,3.0,GRANADA (AMPL),MIGUEL HIDALGO,19.445056,-99.201472
1176,1176,53872.05387205388,297.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.390331,-99.2598097
6125,6125,27212.90322580645,310.0,casa,3.0,2.0,3.0,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.31563,-99.24124
4800,4800,53900.69169960474,253.0,casa,3.0,3.0,3.0,NAPOLES,BENITO JUAREZ,19.3971294,-99.1758704
824,824,53947.36842105263,380.0,departamento,3.0,3.0,3.0,LOMAS DE BEZARES,MIGUEL HIDALGO,19.3952537,-99.2393681
2386,2386,54090.90909090909,220.0,departamento,3.0,3.0,3.0,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.420556,-99.218889
6671,6671,21794.8717948718,156.0,departamento,3.0,3.0,3.0,GRANJAS SAN ANTONIO,IZTAPALAPA,19.36315410977656,-99.10911832908572
81,81,56192.170818505336,281.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4350638,-99.1957554
1175,1175,55555.55555555556,243.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3940926,-99.2647973
6517,6517,52131.147540983606,305.0,departamento,3.0,3.0,3.0,LAS TINAJAS,CUAJIMALPA DE MORELOS,19.35719,-99.28222
1470,1470,52014.65201465201,273.0,departamento,3.0,3.0,3.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3904162,-99.2550003
4288,4288,35833.333333333336,240.0,departamento,3.0,3.0,3.0,LAS AGUILAS (AMPL),ALVARO OBREGON,19.3463305,-99.2123623
7074,7074,79734.21926910299,602.0,departamento,3.0,3.0,3.0,LOMAS ALTAS,MIGUEL HIDALGO,19.39507451987688,-99.23803574130858
2172,2172,4838.130841121495,428.0,departamento,3.0,3.0,3.0,BOSQUES DE CHAPULTEPEC (POLANCO),MIGUEL HIDALGO,19.4287626,-99.1867989
8381,8381,6118.795,200.0,casa,3.0,3.0,3.0,JUSTO SIERRA,IZTAPALAPA,19.3653,-99.136
1024,1024,54006.96864111498,287.0,departamento,3.0,3.0,3.0,LOMAS DE BARRILACO (LOMAS DE CHAPULTEPEC),MIGUEL HIDALGO,19.4235238,-99.2245629
1019,1019,54006.96864111498,287.0,departamento,3.0,3.0,3.0,LOMAS DE BARRILACO (LOMAS DE CHAPULTEPEC),MIGUEL HIDALGO,19.4235238,-99.2245629
3505,3505,50000.0,126.0,departamento,3.0,2.0,3.0,PASEO DE LAS LOMAS-SAN GABRIEL,ALVARO OBREGON,19.373217,-99.2691977
6138,6138,37378.64077669903,206.0,casa,3.0,3.0,3.0,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.3189605,-99.2391364
8149,8149,52469.135802469136,162.0,casa,3.0,3.0,3.0,SAN JOSE DE LOS CEDROS II,CUAJIMALPA DE MORELOS,19.36966,-99.28911
1185,1185,55555.55555555556,243.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3940926,-99.2647973
4286,4286,35833.333333333336,240.0,departamento,3.0,3.0,3.0,LAS AGUILAS (AMPL),ALVARO OBREGON,19.3463305,-99.2123623
6333,6333,42326.5306122449,245.0,departamento,2.0,2.0,3.0,ROMA NORTE II,CUAUHTEMOC,19.4213059,-99.1545556
4254,4254,42288.55721393035,402.0,departamento,2.0,2.0,3.0,SAN JOSE INSURGENTES,BENITO JUAREZ,19.36718,-99.18495
2854,2854,55714.28571428572,140.0,departamento,3.0,3.0,3.0,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,19.3610488,-99.2691278
7578,7578,23980.08061218529,342.38,casa,3.0,3.0,3.0,VILLA VERDUN,ALVARO OBREGON,19.3391,-99.25739
2216,2216,49333.333333333336,150.0,departamento,3.0,2.0,3.0,DEL VALLE VI,BENITO JUAREZ,19.3727284,-99.167599
1022,1022,55825.2427184466,206.0,departamento,3.0,3.0,3.0,LOMAS DE BARRILACO (LOMAS DE CHAPULTEPEC),MIGUEL HIDALGO,19.4238485,-99.2259042
1020,1020,55825.2427184466,206.0,departamento,3.0,3.0,3.0,LOMAS DE BARRILACO (LOMAS DE CHAPULTEPEC),MIGUEL HIDALGO,19.4238485,-99.2259042
243,243,4051.2916666666665,480.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4331242,-99.2005531
1205,1205,2931.25,320.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3933653,-99.2602773
504,504,2833.333333333333,300.0,departamento,3.0,3.0,3.0,PALO ALTO (GRANJAS),CUAJIMALPA DE MORELOS,19.3853244,-99.2548409
1465,1465,35510.204081632655,245.0,departamento,3.0,2.5,3.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.39211,-99.25148
3117,3117,66190.47619047618,105.0,departamento,3.0,2.5,3.0,DEL VALLE III,BENITO JUAREZ,19.389164,-99.167668
3229,3229,65660.4099378882,161.0,departamento,3.0,2.0,3.0,ANAHUAC II,MIGUEL HIDALGO,19.4367648,-99.1792888
6059,6059,65795.91836734694,98.0,departamento,3.0,2.0,3.0,STA CRUZ ATOYAC,BENITO JUAREZ,19.3659914,-99.1635568
2857,2857,71666.66666666667,180.0,departamento,3.0,2.5,3.0,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,19.3591318,-99.2706184
2643,2643,70328.15334858405,126.77,departamento,3.0,2.5,3.0,TIZAPAN_TIZAPAN SAN ANGEL,ALVARO OBREGON,19.33748,-99.197844
244,244,4051.2916666666665,480.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4331242,-99.2005531
6798,6798,16428.571428571428,140.0,casa,3.0,2.5,3.0,LINDAVISTA I,GUSTAVO A. MADERO,19.49422,-99.13525
908,908,81460.67415730337,178.0,casa,3.0,3.0,3.0,OLIVAR DE LOS PADRES,ALVARO OBREGON,19.3398541,-99.2161923
7692,7692,50387.59689922481,129.0,departamento,3.0,2.0,3.0,INSURGENTES MIXCOAC,BENITO JUAREZ,19.37179,-99.18379
2720,2720,4210.526315789473,380.0,departamento,3.0,3.0,3.0,CHAPULTEPEC MORALES (POLANCO),MIGUEL HIDALGO,19.4361269,-99.1847941
827,827,4285.714285714285,350.0,departamento,3.0,3.0,3.0,LOMAS DE BEZARES,MIGUEL HIDALGO,19.3900507,-99.2421773
4923,4923,36915.88785046729,214.0,departamento,2.0,2.5,3.0,LAS AGUILAS,ALVARO OBREGON,19.35827,-99.20647
8718,8718,90909.09090909093,264.0,casa,3.0,3.0,3.0,SANTA FE,ALVARO OBREGON,19.38302,-99.23849
2773,2773,55714.28571428572,140.0,departamento,3.0,3.0,3.0,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,19.3610488,-99.2691278
7256,7256,36303.030303030304,330.0,departamento,3.0,3.0,3.0,COLINAS DEL BOSQUE-LAS TORTOLAS,TLALPAN,19.2793402,-99.1497504
4406,4406,26203.208556149733,374.0,casa,3.0,2.0,3.0,ABDIAS GARCIA SOTO,CUAJIMALPA DE MORELOS,19.35246,-99.29081
2805,2805,55882.35294117647,238.0,departamento,3.0,3.0,3.0,CORREDOR SANTA FE,CUAJIMALPA DE MORELOS,19.357473006170963,-99.2741582386841
9030,9030,21827.41116751269,197.0,casa,3.0,3.0,3.0,SAN JOSE TICOMAN,GUSTAVO A. MADERO,19.5037691701,-99.1324280016
262,262,5955.575221238938,565.0,departamento,3.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4337728,-99.194073
4731,4731,93796.992481203,266.0,casa,3.0,3.0,3.0,FLORIDA,ALVARO OBREGON,19.3605675,-99.1802107
2474,2474,50000.0,242.0,departamento,3.0,2.0,3.0,LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,19.3780681,-99.2768072
7745,7745,22983.870967741936,124.0,casa,3.0,2.5,3.0,JARDIN BALBUENA I,VENUSTIANO CARRANZA,19.42722,-99.11026
5148,5148,94230.76923076923,104.0,casa,3.0,3.0,3.0,SAN LUCAS (BARR),COYOACAN,19.3477,-99.15322
7258,7258,36303.030303030304,330.0,casa,3.0,3.0,3.0,COLINAS DEL BOSQUE-LAS TORTOLAS,TLALPAN,19.2793402,-99.1497504
1976,1976,45952.38095238096,210.0,departamento,3.0,2.0,3.0,LA LOMA,ALVARO OBREGON,19.3717134,-99.2474046
1970,1970,45952.38095238096,210.0,departamento,3.0,2.0,3.0,LA LOMA,ALVARO OBREGON,19.3717134,-99.2474046
5994,5994,55325.0,400.0,casa,4.0,2.5,3.0,SAN ANGEL INN,ALVARO OBREGON,19.34977,-99.19942
4439,4439,91944.44444444444,360.0,departamento,3.0,3.0,3.0,DEL CARMEN,COYOACAN,19.3538129,-99.1636051
1482,1482,2321.428571428572,280.0,departamento,3.0,3.0,3.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3904162,-99.2550003
2151,2151,81081.08108108108,185.0,departamento,2.0,2.0,3.0,BOSQUES DE CHAPULTEPEC (POLANCO),MIGUEL HIDALGO,19.4300508132,-99.1887760162
1225,1225,43333.333333333336,300.0,departamento,2.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3948473,-99.2645769
1496,1496,31481.48148148148,270.0,departamento,2.0,2.0,3.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3983665,-99.2574262
6277,6277,29335.79335793358,271.0,departamento,3.0,2.0,3.0,TLACOQUEMECATL DEL VALLE,BENITO JUAREZ,19.37443396781251,-99.17360661586912
5289,5289,30750.0,400.0,casa,3.0,3.0,3.0,SAN PEDRO CUAJIMALPA (PBLO),CUAJIMALPA DE MORELOS,19.3641016,-99.3029679
8204,8204,45694.20035149385,569.0,casa,3.0,3.0,3.0,PEDREGAL DE SAN FRANCISCO (FRACC),COYOACAN,19.33929,-99.17077
8203,8203,45694.20035149385,569.0,casa,3.0,3.0,3.0,PEDREGAL DE SAN FRANCISCO (FRACC),COYOACAN,19.33929,-99.17077
4911,4911,30812.32492997199,357.0,casa,3.0,3.0,3.0,LAS AGUILAS,ALVARO OBREGON,19.35827,-99.20647
1422,1422,42757.0093457944,428.0,casa,3.0,2.0,3.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3872,-99.25807
1148,1148,45416.66666666666,240.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.389527644,-99.2651823423
1145,1145,45416.66666666666,240.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.389527644,-99.2651823423
7716,7716,45428.57142857143,350.0,casa,3.0,3.0,3.0,LA PALMITA,ALVARO OBREGON,19.3852027,-99.2268619
1478,1478,30848.32904884319,389.0,departamento,3.0,3.0,3.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3794937,-99.2646231
2995,2995,41666.66666666666,156.0,departamento,3.0,3.0,3.0,DEL VALLE III,BENITO JUAREZ,19.3842169,-99.1632291
2395,2395,66051.66051660516,271.0,departamento,3.0,3.0,3.0,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.432434848092,-99.213298407497
1058,1058,66063.82978723405,329.0,departamento,3.0,3.0,3.0,LOMAS DE BARRILACO (LOMAS DE CHAPULTEPEC),MIGUEL HIDALGO,19.4237277,-99.2254355
4248,4248,43233.08270676692,266.0,departamento,3.0,2.0,3.0,SAN JOSE INSURGENTES,BENITO JUAREZ,19.36718,-99.18495
1044,1044,66428.57142857143,280.0,departamento,3.0,3.0,3.0,LOMAS DE BARRILACO (LOMAS DE CHAPULTEPEC),MIGUEL HIDALGO,19.427834739339296,-99.22057614652712
1034,1034,66428.57142857143,280.0,departamento,3.0,3.0,3.0,LOMAS DE BARRILACO (LOMAS DE CHAPULTEPEC),MIGUEL HIDALGO,19.427834739339296,-99.22057614652712
2458,2458,45573.77049180328,305.0,departamento,3.0,3.0,3.0,LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,19.3822431,-99.2669389
2612,2612,38870.37037037037,108.0,departamento,3.0,3.0,3.0,TIZAPAN_TIZAPAN SAN ANGEL,ALVARO OBREGON,19.336681,-99.2028591
1777,1777,38655.46218487395,595.0,casa,3.0,3.0,3.0,JARDINES DEL PEDREGAL,ALVARO OBREGON,19.32237,-99.20628
1488,1488,45573.77049180328,305.0,departamento,3.0,3.0,3.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3805476,-99.265612
2990,2990,41949.15254237288,236.0,departamento,3.0,3.0,3.0,DEL VALLE III,BENITO JUAREZ,19.3887165,-99.1710669
1151,1151,41925.46583850931,322.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3947825,-99.2653869
1128,1128,41925.46583850931,322.0,departamento,3.0,3.0,3.0,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3947825,-99.2653869
866,866,45194.8051948052,385.0,departamento,3.0,3.0,3.0,LOMAS DE BEZARES,MIGUEL HIDALGO,19.3906249,-99.2420032
6323,6323,30882.352941176472,272.0,casa,3.0,3.0,3.0,CUAUHTEMOC PENSIL,MIGUEL HIDALGO,19.44458,-99.19177
1487,1487,45573.77049180328,305.0,departamento,3.0,3.0,3.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3799427,-99.2658645
9140,9140,20245.39877300613,163.0,departamento,2.0,2.0,3.0,CENTRO DE AZCAPOTZALCO,AZCAPOTZALCO,19.48277,-99.18335
7565,7565,30812.32492997199,357.0,casa,3.0,3.0,3.0,VILLA VERDUN,ALVARO OBREGON,19.3391,-99.25739
4155,4155,45714.28571428572,350.0,casa,3.0,3.0,3.0,EL CONTADERO,CUAJIMALPA DE MORELOS,19.34711,-99.2977
3515,3515,49524.23809523809,210.0,departamento,2.0,2.0,3.0,PASEO DE LAS LOMAS-SAN GABRIEL,ALVARO OBREGON,19.373378,-99.2675526
9037,9037,22058.82352941177,136.0,casa,2.0,2.0,3.0,CASAS ALEMAN (AMPL) II,GUSTAVO A. MADERO,19.4776,-99.08418
9032,9032,18693.18181818182,176.0,casa,2.0,2.0,3.0,VALENTIN GOMEZ FARIAS,ALVARO OBREGON,19.3599955,-99.2322066
8783,8783,41596.638655462186,238.0,casa,3.0,3.0,3.0,SAN FRANCISCO (BARR),LA MAGDALENA CONTRERAS,19.313671,-99.235845
6756,6756,41388.88888888889,180.0,departamento,3.0,3.0,3.0,GENERAL PEDRO MARIA ANAYA,BENITO JUAREZ,19.3586628,-99.15733
9287,9287,23484.848484848484,132.0,departamento,3.0,2.0,3.0,APATLACO,IZTAPALAPA,19.3801294,-99.1187062
4322,4322,68181.81818181818,330.0,departamento,3.0,3.0,3.0,SAN MATEO TLALTENANGO (PBLO),CUAJIMALPA DE MORELOS,19.3488987,-99.261431
1967,1967,66666.66666666667,390.0,departamento,3.0,3.0,3.0,LA LOMA,ALVARO OBREGON,19.3754151,-99.242883
1592,1592,43667.832167832166,286.0,casa,3.0,3.0,3.0,SAN JERONIMO ACULCO - LIDICE (PBLO),LA MAGDALENA CONTRERAS,19.3257956,-99.225531
1508,1508,45901.63934426229,305.0,departamento,3.0,3.0,3.0,BOSQUES DE LAS LOMAS,CUAJIMALPA DE MORELOS,19.3929461,-99.2489208
