,Unnamed: 0,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
7958,7958,63206.89655172414,87.0,departamento,1.0,1.0,2.0,ESCANDON I,MIGUEL HIDALGO,19.405617979452,-99.179004165279
180,180,68333.33333333333,60.0,departamento,1.0,1.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43475,-99.19081
2145,2145,68333.33333333333,60.0,departamento,1.0,1.0,2.0,BOSQUES DE CHAPULTEPEC (POLANCO),MIGUEL HIDALGO,19.429911728517315,-99.1912543534424
2152,2152,68333.33333333333,60.0,departamento,1.0,1.0,2.0,BOSQUES DE CHAPULTEPEC (POLANCO),MIGUEL HIDALGO,19.429911728517315,-99.1912543534424
5694,5694,68750.0,80.0,departamento,1.0,1.0,2.0,AGUILAS PILARES,ALVARO OBREGON,19.3558427,-99.201306
937,937,40000.0,80.0,departamento,1.0,1.0,2.0,OLIVAR DE LOS PADRES,ALVARO OBREGON,19.3399529897,-99.214310227
5211,5211,58705.882352941175,85.0,departamento,1.0,1.0,2.0,REFORMA SOCIAL,MIGUEL HIDALGO,19.430293302371748,-99.2164286949547
5814,5814,46500.0,60.0,departamento,2.0,1.0,2.0,PORTALES II,BENITO JUAREZ,19.366088724851103,-99.14254271731988
3523,3523,25735.29411764706,136.0,departamento,2.0,1.0,2.0,NARVARTE III,BENITO JUAREZ,19.3899098,-99.1590102
4553,4553,49285.71428571428,70.0,departamento,1.0,1.0,2.0,NOCHE BUENA,BENITO JUAREZ,19.3819991,-99.1771418
5205,5205,58705.882352941175,85.0,departamento,1.0,1.0,2.0,REFORMA SOCIAL,MIGUEL HIDALGO,19.430293302371748,-99.2164286949547
5578,5578,49319.96915959908,64.85,departamento,2.0,1.0,2.0,MARIA DEL CARMEN,BENITO JUAREZ,19.3754709,-99.1372672
5581,5581,45144.17887432537,64.85,departamento,2.0,1.0,2.0,MARIA DEL CARMEN,BENITO JUAREZ,19.3754709,-99.1372672
8043,8043,36764.705882352944,68.0,departamento,1.0,1.0,2.0,PARQUE RESIDENCIAL SAN ANTONIO (U HAB),ALVARO OBREGON,19.38803,-99.19113
8118,8118,25576.92307692308,78.0,departamento,2.0,1.0,2.0,COLINAS DEL SUR,ALVARO OBREGON,19.36876,-99.22586
8631,8631,7600.298136645963,161.0,casa,2.0,1.0,2.0,SAN JUAN DE ARAGON 2A SECCION (U HAB) II,GUSTAVO A. MADERO,19.45657,-99.08867
6961,6961,7302.671171171171,222.0,casa,2.0,1.0,2.0,CONSTITUCION DE LA REPUBLICA,GUSTAVO A. MADERO,19.48337,-99.09972
6549,6549,7700.0,70.0,departamento,2.0,1.0,2.0,LOS GIRASOLES III,COYOACAN,19.3058338,-99.1266383
6546,6546,7700.0,70.0,departamento,2.0,1.0,2.0,LOS GIRASOLES III,COYOACAN,19.3058338,-99.1266383
7017,7017,25681.81818181818,132.0,departamento,2.0,1.0,2.0,RANCHO EL ROSARIO,COYOACAN,19.3286627,-99.1421702
7018,7018,25681.81818181818,132.0,departamento,2.0,1.0,2.0,RANCHO EL ROSARIO,COYOACAN,19.3286627,-99.1421702
7548,7548,37500.0,68.0,departamento,2.0,1.0,2.0,MERCED GOMEZ,BENITO JUAREZ,19.3672704,-99.1898902
882,882,36666.66666666666,75.0,departamento,2.0,1.0,2.0,OLIVAR DE LOS PADRES,ALVARO OBREGON,19.3394733,-99.217063
925,925,36666.66666666666,75.0,departamento,2.0,1.0,2.0,OLIVAR DE LOS PADRES,ALVARO OBREGON,19.3394733,-99.217063
5582,5582,51443.38118022328,62.7,departamento,2.0,1.0,2.0,MARIA DEL CARMEN,BENITO JUAREZ,19.3754709,-99.1372672
6885,6885,53934.33192427863,54.41,departamento,2.0,1.0,2.0,LOS REYES (PBLO),COYOACAN,19.33651,-99.15352
5585,5585,53856.57998423956,63.45,departamento,2.0,1.0,2.0,MARIA DEL CARMEN,BENITO JUAREZ,19.3754709,-99.1372672
7033,7033,13000.0,90.0,departamento,3.0,1.0,2.0,PASEOS DE TAXQUEA I,COYOACAN,19.34585,-99.12415
2166,2166,72093.02325581395,86.0,departamento,2.0,1.0,2.0,BOSQUES DE CHAPULTEPEC (POLANCO),MIGUEL HIDALGO,19.42957,-99.19148
9220,9220,23684.21052631579,95.0,departamento,3.0,1.0,2.0,PARAJE 38,TLALPAN,19.2643232,-99.2074715
