,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
944,12990000,304,3,3,3,PASEOS DE TAXQUENA,CASA PASEOS DE TAXQUENA,,,
945,3200000,0,2,2,1,ATLANTIDA,PENTHOUSE COYOACAN ATLANTIDA,ATLANTIDA,19.3406690541,19.3406690541
946,1260000,55,2,1,1,LOS REYES,VENTA DE DEPARTAMENTO 60MTS AZCAPOTZALCO CD DE MEXICO,LOS REYES,19.3962000156,19.3962000156
947,2168100,0,2,2,0,TACUBA,"COL. TACUBA, DEPARTAMENTO 202 NUEVO A LA VENTA EN LAGO WINNIPEG (VM)",TACUBA,19.4563586061,19.4563586061
948,1581000,0,3,3,0,ANAHUAC I SECC,"PRE-VENTA DEPARTAMENTO EN CALLE PLATON, COL. POLANCO (VG)",ANAHUAC I,19.4471950354,19.4471950354
949,18284000,302,3,4+,2,SAN MATEO,"DEPARTAMENTOS EN PREVENTA EN TRES CUMBRES, SAN MATEO TLALTENANGO, 3 RECAMARAS.",SAN MATEO,19.483157965,19.483157965
950,12500000,137,2,3,2,SAN MATEO,"DEPARTAMENTOS EN PREVENTA EN TRES CUMBRES, SAN MATEO TLALTENANGO, 2 RECAMARAS.",SAN MATEO,19.483157965,19.483157965
951,11954000,201,2,3,2,SAN MATEO,"DEPARTAMENTOS EN PREVENTA EN TRES CUMBRES, SAN MATEO TLALTENANGO, 2 RECAMARAS.",SAN MATEO,19.483157965,19.483157965
952,8867000,144,2,3,2,SAN MATEO,"DEPARTAMENTOS EN PREVENTA EN TRES CUMBRES, SAN MATEO TLALTENANGO, 2 RECAMARAS.",SAN MATEO,19.483157965,19.483157965
953,11665000,210,2,3,2,SAN MATEO,"DEPARTAMENTOS EN PREVENTA EN TRES CUMBRES, SAN MATEO TLALTENANGO, 2 RECAMARAS.",SAN MATEO,19.483157965,19.483157965
