,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
841,4292974,96,2,2,1,ALAMOS,"DEPARTAMENTO  EN PREVENTA EN BOLIVAR 577 EN  BENITO JUAREZ,  CDMX,  2 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
842,5392005,165,2,2,2,ALAMOS,"DEPARTAMENTO  EN PREVENTA EN BOLIVAR 577 EN  BENITO JUAREZ,  CDMX,  3 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
843,4998302,184,2,2,1,ALBERT,"DEPARTAMENTO  EN PREVENTA EN ALBERT 38 EN  BENITO JUAREZ,  CDMX,  2 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
844,4203173,65,2,2,1,COL DEL VALLE SUR,"DEPARTAMENTO  EN PREVENTA EN AV. COYOACAN 1129  EN  BENITO JUAREZ,  CDMX,  2 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
845,4473489,139,2,2,1,COL DEL VALLE SUR,"DEPARTAMENTO  EN PREVENTA EN AV. COYOACAN 1129  EN  BENITO JUAREZ,  CDMX,  2 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
846,6339483,93,3,2,1,NARVARTE ORIENTE,"DEPARTAMENTO  EN PREVENTA EN MONTE ALBAN 214 EN  BENITO JUAREZ,  CDMX,  3 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
847,1924000,58,2,2,1,BONDOJITO,"DEPARTAMENTO EN PREVENTA EN RESIDENCIAL CONGRESO, GAM, CDMX, 2 RECAMARAS",BONDOJITO,19.4669013795,19.4669013795
848,2213600,67,2,2,1,BONDOJITO,"DEPARTAMENTO EN PREVENTA EN RESIDENCIAL CONGRESO, GAM, CDMX, 2 RECAMARAS",BONDOJITO,19.4669013795,19.4669013795
849,2900000,56,1,1,1,LA ROSITA,DEPARTAMENTO EN LA CITE SANTA FE,SANTA FE,19.3892631023,19.3892631023
850,2371860,56,2,1,1,ATLAMPA,"DEPARTAMENTO EN PREVENTA EN SANTA MARIA PARK, CUAUHTEMOC, CDMX 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
851,1800000,75,2,1,1,LA PURISIMA TICOMAN,VENTA DEPTO 2 REC  COL TICOMAN LA PURISIMA,,,
852,5500000,86,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 18, CIUDAD DE MEXICO, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
853,5650000,86,2,2,1,CUAUHTEMOC,"DEPARTAMENTO EN PREVENTA EN RIO GUADALQUIVIR 18, CIUDAD DE MEXICO, 2 RECAMARAS",CUAUHTEMOC,19.3200700913,19.3200700913
854,2422910,85,2,1,1,BONDOJITO,"DEPARTAMENTO EN PREVENTA EN RESIDENCIAL CONGRESO, GAM, CDMX, 2 RECAMARAS",BONDOJITO,19.4669013795,19.4669013795
855,2250000,0,2,1,1,CAROLA,"DEPARTAMENTO EN VENTA PARQUES SAN ANTONIO, CAROLA, SAN PEDRO DE LOS PINOS, ALVARO OBREGON",SAN PEDRO DE LOS PINOS,19.3888622721,19.3888622721
